

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (OBJNUM,TYPE,XX1,YY1,XX2,YY2,SIZE,DIAG)
   750        9:P        8:L   +   0.516 (0,line,0,0,0,20,20,27.89)
   751        9:P        9:P       0.614 (5,line,10,31,6,28,5,44.15)
   752        9:P       10:R   +   0.513 (3,line,13,39,13,33,6,44.92)
   753        9:P        8:L   +   0.493 (0,line,0,0,0,25,25,51.24)
   754        9:P        9:P       0.916 (3,line,22,38,22,27,11,51.89)
   755        9:P       10:R   +   0.565 (3,line,14,43,14,32,11,55.79)
   756        9:P       10:R   +   0.769 (2,line,2,42,17,36,16.16,46.1)
   757        9:P        9:P       0.907 (3,line,14,39,29,32,16.55,55.23)
   758        9:P        9:P       0.678 (0,line,0,0,0,39,39,56.44)
   759        9:P        9:P       0.728 (1,line,0,29,0,45,16,52.48)
   760        9:P       10:R   +   0.501 (2,line,0,40,13,36,13.6,43.86)
   761        9:P        6:G   +   0.542 (5,line,16,18,0,9,18.36,46.62)
   762        9:P        9:P       0.791 (0,line,0,0,0,29,29,51.48)
   763        9:P        9:P       0.537 (2,line,0,49,18,45,18.44,56.44)
   764        9:P        9:P       0.738 (2,line,1,47,19,36,21.1,51.48)
   765        9:P        9:P       0.861 (0,line,0,0,0,38,38,55.04)
   766        9:P        8:L   +   0.422 (0,line,0,0,0,24,24,43.32)
   767        9:P        8:L   +   0.427 (0,line,0,0,0,26,26,35.44)
   768        9:P        9:P       0.791 (6,line,6,34,0,31,6.71,50.22)
   769        9:P        6:G   +   0.75 (6,line,16,14,0,7,17.46,52.39)
   770        9:P        9:P       0.822 (0,line,0,0,0,36,36,57.01)
   771        9:P        9:P       0.738 (4,line,21,34,21,20,14,51.48)
   772        9:P        9:P       0.539 (0,line,0,0,0,38,38,56.08)
   773        9:P        9:P       0.741 (1,line,0,39,1,47,8.06,53.71)
   774        9:P        6:G   +   0.532 (6,line,8,12,0,6,10,41.63)
   775        9:P        9:P       0.371 (3,line,21,30,21,20,10,44.29)
   776        9:P        9:P       0.784 (3,line,37,40,37,27,13,62.2)
   777        9:P        9:P       0.961 (2,line,2,48,6,46,4.47,52)
   778        9:P        9:P       0.674 (2,line,0,46,8,43,8.54,48.38)
   779        9:P        9:P       0.565 (1,line,0,30,1,46,16.03,59.03)
   780        9:P       10:R   +   0.655 (2,line,0,44,10,37,12.21,47.54)
   781        9:P        9:P       0.952 (3,line,10,41,11,34,7.07,45.35)
   782        9:P       10:R   +   0.578 (4,line,33,26,18,16,18.03,55)
   783        9:P        8:L   +   0.356 (1,line,0,21,0,40,19,43.86)
   784        9:P        9:P       0.84 (5,line,7,28,0,24,8.06,41.98)
   785        9:P        9:P       0.711 (2,line,1,48,6,47,5.1,49.24)
   786        9:P        9:P       0.596 (1,line,0,35,0,45,10,46.57)
   787        9:P        9:P       0.457 (2,line,1,39,9,37,8.25,45.28)
   788        9:P        9:P       0.522 (0,line,0,0,0,28,28,53.6)
   789        9:P        9:P       0.97 (2,line,2,53,28,45,27.2,59.94)
   790        9:P        9:P       0.965 (4,line,25,38,0,29,26.57,59.51)
   791        9:P        9:P       0.807 (5,line,22,29,0,17,25.06,66.13)
   792        9:P        9:P       0.93 (0,line,0,0,0,34,34,51.48)
   793        9:P        9:P       0.489 (2,line,2,34,11,30,9.85,35.74)
   794        9:P       10:R   +   0.646 (2,line,1,43,10,38,10.3,44.92)
   795        9:P       10:R   +   0.615 (5,line,44,22,15,14,30.08,68.12)
   796        9:P        6:G   +   0.634 (4,line,26,30,22,19,11.7,56.36)
   797        9:P        9:P       0.779 (1,line,0,31,1,56,25.02,61.74)
   798        9:P       10:R   +   0.559 (5,line,12,23,0,16,13.89,44.27)
   799        9:P        8:L   +   0.561 (1,line,0,21,0,33,12,35.85)
   800        9:P        9:P       0.438 (4,line,31,31,31,18,13,52.2)
   801        9:P       10:R   +   0.675 (2,line,0,43,13,37,14.32,44.92)
   802        9:P        9:P       0.561 (5,line,14,24,0,16,16.12,51.08)
   803        9:P        9:P       0.826 (6,line,10,22,0,16,11.66,51.87)
   804        9:P        9:P       0.817 (3,line,17,45,21,36,9.85,59.81)
   805        9:P        9:P       0.682 (1,line,0,37,1,53,16.03,54.34)
   806        9:P        9:P       0.727 (6,line,4,31,0,28,5,44.91)
   807        9:P       10:R   +   0.567 (3,line,17,36,17,23,13,50.92)
   808        9:P        9:P       0.851 (3,line,22,37,22,29,8,48.3)
   809        9:P        9:P       0.737 (0,line,0,0,0,28,28,48.33)
   810        9:P       10:R   +   0.595 (5,line,19,17,0,6,21.95,52.8)
   811        9:P        9:P       0.556 (3,line,17,36,17,27,9,46.24)
   812        9:P        9:P       0.58 (6,line,10,16,0,10,11.66,48.85)
   813        9:P        9:P       0.877 (5,line,10,25,0,19,11.66,41.48)
   814        9:P        9:P       0.955 (3,line,21,41,27,34,9.22,52.48)
   815        9:P        9:P       0.807 (5,line,23,33,6,29,17.46,52.33)
   816        9:P        9:P       0.862 (1,line,0,39,2,45,6.32,48.85)
   817        9:P        9:P       0.636 (4,line,37,31,22,18,19.85,66.29)
   818        9:P        9:P       0.819 (3,line,27,38,27,24,14,56.82)
   819        9:P        9:P       0.715 (3,line,6,41,10,38,5,44.15)
   820        9:P        9:P       0.765 (0,line,0,0,0,32,32,43.32)
   821        9:P       10:R   +   0.76 (4,line,23,29,0,18,25.5,55.95)
   822        9:P        9:P       0.739 (4,line,33,31,0,18,35.47,64.14)
   823        9:P        9:P       0.839 (1,line,0,38,1,59,21.02,68.1)
   824        9:P        9:P       0.821 (1,line,0,28,2,35,7.28,37.34)
   825        9:P        9:P       0.613 (1,line,0,36,0,60,24,65.8)
   826        9:P        9:P       0.972 (5,line,7,38,0,34,8.06,53.45)
   827        9:P        4:E   +   0.349 (1,line,0,24,1,30,6.08,35.51)
   828        9:P        9:P       0.413 (1,line,0,27,2,44,17.12,46.17)
   829        9:P        9:P       0.616 (2,line,2,43,27,32,27.31,50.77)
   830        9:P        8:L   +   0.435 (1,line,0,25,1,44,19.03,47.54)
   831        9:P       10:R   +   0.598 (5,line,15,34,8,29,8.6,54.12)
   832        9:P        9:P       0.897 (2,line,1,41,3,41,2,41.3)
   833        9:P        9:P       0.938 (4,line,25,38,25,25,13,55.01)
   834        9:P        9:P       0.559 (2,line,0,49,14,38,17.8,50.96)
   835        9:P        9:P       0.552 (2,line,2,58,21,52,19.92,62.03)
   836        9:P       10:R   +   0.446 (1,line,0,39,1,46,7.07,50.99)
   837        9:P        9:P       0.979 (3,line,11,45,25,38,15.65,55.01)
   838        9:P        3:D   +   0.546 (4,line,12,29,10,23,6.32,40.8)
   839        9:P       10:R   +   0.578 (3,line,10,37,31,31,21.84,52.2)
   840        9:P        5:F   +   0.503 (1,line,0,28,1,34,6.08,34.71)
   841        9:P        9:P       0.415 (0,line,0,0,0,26,26,49.66)
   842        9:P        9:P       0.755 (0,line,0,0,0,30,30,53.49)
   843        9:P        9:P       0.674 (0,line,0,0,0,36,36,59.48)
   844        4:E        5:F   +   0.334 (3,line,0,35,17,35,17,38.91)
   845        4:E        4:E       0.351 (3,line,2,36,14,35,12.04,46.23)
   846        4:E        4:E       0.997 (4,line,0,0,23,-2,23.09,45.28)
   847        4:E        5:F   +   0.6 (3,line,1,21,8,21,7,26.4)
   848        4:E        4:E       0.543 (3,line,2,34,14,32,12.17,42.2)
   849        4:E        4:E       0.995 (4,line,0,0,9,-2,9.22,44.05)
   850        4:E        5:F   +   0.69 (3,line,2,32,15,31,13.04,38.28)
   851        4:E        7:H   +   0.322 (1,line,0,7,1,32,25.02,38.01)
   852        4:E        5:F   +   0.366 (2,line,0,11,18,12,18.03,26.17)
   853        4:E        4:E       0.61 (1,line,0,15,2,34,19.1,50.33)
   854        4:E        4:E       0.685 (3,line,1,36,25,34,24.08,45.49)
   855        4:E       10:R   +   0.318 (3,line,1,39,11,39,10,51.4)
   856        4:E        4:E       0.608 (2,line,0,25,21,24,21.02,52.77)
   857        4:E        4:E       0.579 (1,line,0,22,1,43,21.02,56.73)
   858        4:E        4:E       0.542 (3,line,1,36,31,34,30.07,49.58)
   859        4:E        4:E       0.478 (0,line,0,0,0,22,22,53.41)
   860        4:E        4:E       0.63 (4,line,0,0,8,0,8,29.15)
   861        4:E        8:L   +   0.435 (0,line,0,0,0,20,20,42.19)
   862        4:E        8:L   +   0.421 (0,line,0,0,0,20,20,36.12)
   863        4:E        4:E       0.946 (4,line,0,0,11,2,11.18,32.7)
   864        4:E        4:E       0.889 (4,line,0,0,15,0,15,30.02)
   865        4:E        9:P   +   0.561 (3,line,2,38,21,36,19.1,52.5)
   866        4:E        4:E       0.78 (3,line,1,34,13,32,12.17,46.01)
   867        4:E        8:L   +   0.505 (0,line,0,0,0,8,8,20.52)
   868        4:E        5:F   +   0.539 (3,line,0,20,13,21,13.04,28.32)
   869        4:E       10:R   +   0.364 (1,line,0,25,0,50,25,55.66)
   870        4:E        7:H   +   0.528 (2,line,0,7,17,6,17.03,27.02)
   871        4:E        5:F   +   0.396 (1,line,0,11,0,20,9,27.59)
   872        4:E        8:L   +   0.669 (0,line,0,0,0,13,13,47.8)
   873        4:E        6:G   +   0.535 (2,line,0,6,9,7,9.06,20.12)
   874        4:E        4:E       0.371 (1,line,0,10,1,31,21.02,37.44)
   875        4:E        4:E       0.993 (4,line,0,0,22,0,22,37.54)
   876        4:E        4:E       0.9 (2,line,0,19,26,21,26.08,46.01)
   877        4:E        4:E       0.993 (4,line,0,0,12,2,12.17,55.87)
   878        4:E        4:E       0.991 (4,line,0,0,23,0,23,41.77)
   879        4:E        5:F   +   0.515 (1,line,0,18,1,30,12.04,41.04)
   880        4:E        8:L   +   0.671 (0,line,0,0,0,21,21,37.74)
   881        4:E        4:E       0.588 (2,line,0,19,14,21,14.14,32.65)
   882        4:E        4:E       0.979 (4,line,0,0,15,2,15.13,24.21)
   883        4:E        4:E       0.416 (3,line,0,24,6,24,6,26.83)
   884        4:E        4:E       0.408 (1,line,0,22,2,40,18.11,52.01)
   885        4:E        8:L   +   0.562 (1,line,0,19,0,37,18,50.93)
   886        4:E        5:F   +   0.38 (1,line,0,11,2,25,14.14,29.15)
   887        4:E        4:E       0.722 (0,line,0,0,0,24,24,42.43)
   888        4:E        4:E       0.627 (3,line,1,20,9,20,8,26.91)
   889        4:E        4:E       0.965 (4,line,0,0,14,0,14,43.6)
   890        4:E        4:E       0.994 (4,line,0,0,23,1,23.02,35.47)
   891        4:E        7:H   +   0.645 (2,line,0,9,14,8,14.04,29.07)
   892        4:E        4:E       0.555 (2,line,0,7,21,5,21.1,33.3)
   893        4:E        7:H   +   0.341 (0,line,0,0,0,7,7,38.9)
   894        4:E        4:E       0.988 (4,line,0,0,18,0,18,26.91)
   895        4:E        4:E       0.801 (3,line,2,24,22,25,20.02,33.3)
   896        4:E        4:E       0.428 (2,line,0,20,23,18,23.09,36.24)
   897        4:E        5:F   +   0.601 (2,line,0,16,20,15,20.02,30.48)
   898        4:E        5:F   +   0.55 (3,line,1,15,10,15,9,20.52)
   899        4:E        5:F   +   0.31 (0,line,0,0,0,7,7,19.85)
   900        4:E        7:H   +   0.284 (0,line,0,0,0,10,10,38.83)
   901        4:E        5:F   +   0.519 (3,line,2,22,9,22,7,26.4)
   902        4:E        4:E       0.555 (3,line,1,36,25,35,24.02,44.65)
   903        4:E        9:P   +   0.717 (3,line,2,46,32,46,30,56.04)
   904        4:E        4:E       0.404 (0,line,0,0,0,16,16,38.9)
   905        4:E        4:E       0.638 (2,line,0,23,20,23,20,64.54)
   906        4:E        5:F   +   0.676 (3,line,1,40,24,38,23.09,51.86)
   907        4:E        4:E       0.941 (4,line,0,0,19,0,19,30.48)
   908        4:E        4:E       0.716 (3,line,1,21,15,21,14,29)
   909        4:E        4:E       0.52 (1,line,0,17,2,27,10.2,38.18)
   910        4:E        4:E       0.999 (4,line,0,0,28,-2,28.07,45.61)
   911        4:E        4:E       0.616 (1,line,0,13,0,31,18,40.46)
   912        4:E        4:E       0.786 (2,line,0,16,15,15,15.03,27.8)
   913        4:E        6:G   +   0.526 (0,line,0,0,0,6,6,37.54)
   914        4:E        4:E       0.993 (4,line,0,0,12,1,12.04,25)
   915        4:E        4:E       0.739 (2,line,0,14,14,16,14.14,41.73)
   916        4:E        7:H   +   0.384 (1,line,0,22,1,40,18.03,47.71)
   917        4:E        6:G   +   0.776 (2,line,0,9,10,10,10.05,31.89)
   918        4:E        4:E       0.395 (1,line,0,20,0,38,18,52.5)
   919        4:E        8:L   +   0.664 (0,line,0,0,0,13,13,26.17)
   920        4:E        6:G   +   0.389 (0,line,0,0,0,9,9,22.8)
   921        4:E        4:E       0.586 (2,line,0,13,7,15,7.28,40.46)
   922        4:E        4:E       0.874 (4,line,0,0,6,2,6.32,38.9)
   923        4:E        8:L   +   0.432 (0,line,0,0,0,22,22,43.19)
   924        4:E        4:E       0.499 (3,line,2,27,28,25,26.08,38.9)
   925        4:E        4:E       0.997 (4,line,0,0,26,-1,26.02,40.36)
   926        4:E        4:E       0.549 (1,line,0,9,2,21,12.17,27.02)
   927        4:E        4:E       0.476 (1,line,0,23,0,36,13,45.49)
   928        4:E        4:E       1 (4,line,0,0,29,-2,29.07,46.86)
   929        4:E        4:E       0.886 (2,line,0,24,30,23,30.02,45.34)
   930        4:E        4:E       0.527 (1,line,0,17,1,36,19.03,44.41)
   931        4:E        7:H   +   0.33 (1,line,0,9,1,28,19.03,35.61)
   932        4:E        4:E       0.477 (0,line,0,0,0,22,22,47.41)
   933        4:E        4:E       0.444 (2,line,0,25,12,25,12,52.63)
   934        4:E        4:E       0.545 (3,line,2,23,14,25,12.17,31.4)
   935        4:E        8:L   +   0.54 (0,line,0,0,0,13,13,36.77)
   936        4:E        4:E       0.467 (1,line,0,17,1,24,7.07,33.97)
   937        4:E       10:R   +   0.749 (3,line,2,29,27,29,25,39.62)
   938        4:E        4:E       0.341 (0,line,0,0,0,12,12,32.65)
   939        4:E        5:F   +   0.687 (1,line,0,8,2,22,14.14,28.84)
   940        4:E        5:F   +   0.389 (1,line,0,15,1,37,22.02,53.15)
   941        4:E       10:R   +   0.905 (3,line,0,50,16,52,16.12,55.66)
   942        4:E        4:E       0.325 (0,line,0,0,0,20,20,51.86)
   943        4:E        4:E       0.477 (1,line,0,25,2,47,22.09,52.77)
   944        4:E        4:E       0.471 (2,line,0,16,15,16,15,48.8)
   945        4:E        7:H   +   0.599 (2,line,0,7,14,8,14.04,22.8)
   946        4:E        4:E       0.995 (4,line,0,0,8,-1,8.06,35.47)
   947        4:E        4:E       0.369 (2,line,0,14,13,14,13,32.7)
   948        4:E        7:H   +   0.408 (1,line,0,20,0,26,6,31.76)
   949        4:E        8:L   +   0.752 (0,line,0,0,0,19,19,51.09)
   950        4:E        8:L   +   0.71 (0,line,0,0,0,19,19,32.7)
   951        4:E        4:E       0.39 (0,line,0,0,0,24,24,50.7)
   952        4:E        4:E       0.973 (4,line,0,0,25,0,25,52.7)
   953        4:E        5:F   +   0.562 (1,line,0,19,0,33,14,45.45)
   954        4:E        4:E       0.686 (3,line,0,24,15,22,15.13,30.61)
   955        4:E        5:F   +   0.428 (3,line,1,41,41,39,40.05,57.98)
   956        4:E        5:F   +   0.579 (2,line,0,19,24,19,24,45.45)
   957        4:E        4:E       0.979 (4,line,0,0,14,0,14,42.43)
   958        4:E        4:E       0.761 (0,line,0,0,0,16,16,27.8)
   959        4:E        7:H   +   0.269 (1,line,0,6,2,26,20.1,32.45)
   960        4:E        8:L   +   0.579 (0,line,0,0,0,13,13,38.21)
   961        4:E        4:E       0.638 (2,line,0,24,30,24,30,54.92)
   962        4:E        4:E       0.999 (4,line,0,0,6,-1,6.08,45.34)
   963        4:E        4:E       0.351 (0,line,0,0,0,20,20,33.6)
   964        4:E        4:E       0.976 (4,line,0,0,6,0,6,22.8)
   965        4:E        7:H   +   0.568 (2,line,0,7,9,6,9.06,26.4)
   966        4:E        5:F   +   0.466 (1,line,0,11,0,29,18,41.11)
   967        4:E        5:F   +   0.517 (3,line,0,21,18,22,18.03,30)
   968        4:E        4:E       0.998 (4,line,0,0,28,2,28.07,54.04)
   969        4:E        4:E       0.959 (4,line,0,0,8,0,8,26.17)
   970        4:E        4:E       0.999 (4,line,0,0,21,-1,21.02,59.41)
   971        4:E        4:E       0.772 (4,line,0,0,26,0,26,47.01)
   972        4:E        4:E       0.992 (4,line,0,0,22,0,22,34.06)
   973        4:E        5:F   +   0.689 (3,line,1,37,27,36,26.02,45.8)
   974        4:E        6:G   +   0.623 (2,line,0,10,8,11,8.06,28.84)
   975        4:E        4:E       0.921 (4,line,0,0,14,0,14,38.6)
   976        4:E        4:E       0.501 (2,line,0,21,20,21,20,44.65)
   977        4:E        5:F   +   0.785 (2,line,0,15,27,17,27.07,47.43)
   978        4:E        8:L   +   0.489 (1,line,0,18,1,38,20.02,50)
   979        4:E        6:G   +   0.718 (0,line,0,0,0,6,6,20)
   980        4:E        4:E       0.475 (1,line,0,21,1,30,9.06,40.36)
   981        4:E        4:E       0.309 (1,line,0,24,2,44,20.1,50.7)
   982        4:E       10:R   +   0.908 (3,line,1,37,14,39,13.15,47.17)
   983        4:E        8:L   +   0.337 (0,line,0,0,0,10,10,37.44)
   984        4:E        4:E       0.951 (4,line,0,0,29,0,29,43.19)
   985        4:E        4:E       0.647 (2,line,0,14,12,15,12.04,34.99)
   986        4:E        4:E       0.984 (4,line,0,0,13,2,13.15,24.7)
   987        4:E        4:E       0.383 (3,line,1,29,15,29,14,32.65)
   988        4:E        8:L   +   0.625 (0,line,0,0,0,21,21,39.45)
   989        4:E       10:R   +   0.813 (3,line,1,31,14,31,13,44.6)
   990        4:E        5:F   +   0.452 (1,line,0,20,1,40,20.02,51.86)
   991        4:E        4:E       0.97 (4,line,0,0,32,0,32,55.22)
   992        4:E        4:E       0.645 (0,line,0,0,0,23,23,42.43)
   993        4:E        7:H   +   0.6 (2,line,0,10,12,12,12.17,31.4)
   994        4:E        4:E       0.84 (2,line,0,13,31,15,31.06,46.01)
   995        4:E        7:H   +   0.715 (2,line,0,12,9,14,9.22,29.41)
   996        4:E        8:L   +   0.532 (0,line,0,0,0,15,15,50.61)
   997        4:E        7:H   +   0.348 (2,line,0,11,6,11,6,24.7)
   998        4:E        6:G   +   0.561 (2,line,0,8,8,6,8.25,28.84)
   999        4:E        5:F   +   0.526 (3,line,1,19,13,21,12.17,25.81)
  1000        4:E        7:H   +   0.382 (0,line,0,0,0,12,12,48.84)
  1001        4:E        3:D   +   0.437 (3,line,2,27,27,27,25,38.18)
  1002        4:E        5:F   +   0.439 (3,line,1,29,10,30,9.06,41.04)
  1003        4:E        5:F   +   0.72 (1,line,0,25,0,41,16,48.55)
  1004        4:E        4:E       0.456 (1,line,0,25,0,37,12,42.95)
  1005        4:E        5:F   +   0.437 (1,line,0,20,1,31,11.05,38.6)
  1006        4:E        4:E       0.394 (0,line,0,0,0,17,17,44.2)
  1007        4:E        7:H   +   0.658 (2,line,0,10,23,11,23.02,37.8)
  1008        4:E        8:L   +   0.485 (1,line,0,8,2,19,11.18,23.6)
  1009        4:E        6:G   +   0.568 (2,line,0,7,10,5,10.2,24.08)
  1010        4:E       10:R   +   0.382 (3,line,1,48,34,49,33.02,69.35)
  1011        4:E        4:E       0.424 (0,line,0,0,0,20,20,40.22)
  1012        4:E        4:E       0.407 (1,line,0,16,0,36,20,50.21)
  1013        4:E        4:E       0.992 (4,line,0,0,18,-1,18.03,44.41)
  1014        4:E        4:E       0.986 (4,line,0,0,13,2,13.15,23.02)
  1015        4:E        4:E       0.45 (2,line,0,21,8,20,8.06,30.89)
  1016        4:E        4:E       0.994 (4,line,0,0,6,1,6.08,33.24)
  1017        4:E        7:H   +   0.362 (0,line,0,0,0,6,6,36.8)
  1018        4:E        4:E       0.996 (4,line,0,0,14,1,14.04,29)
  1019        4:E        4:E       0.999 (4,line,0,0,39,-2,39.05,67.27)
  1020        4:E        4:E       0.433 (3,line,1,43,26,43,25,56.73)
  1021        4:E        4:E       0.47 (3,line,1,18,7,17,6.08,20.12)
  1022        4:E        4:E       0.632 (3,line,0,25,23,26,23.02,35.47)
  1023        4:E        4:E       0.329 (1,line,0,13,0,26,13,35.61)
  1024        4:E        4:E       0.998 (4,line,0,0,29,1,29.02,47.38)
  1025        4:E        5:F   +   0.413 (1,line,0,8,2,23,15.13,33.24)
  1026        4:E        4:E       0.508 (2,line,0,17,26,17,26,44.41)
  1027        4:E        4:E       0.996 (4,line,0,0,19,-2,19.1,49.65)
  1028        4:E        4:E       0.999 (4,line,0,0,7,-1,7.07,49.68)
  1029        4:E        4:E       0.582 (2,line,0,20,27,21,27.02,44.2)
  1030        4:E        4:E       0.485 (3,line,1,43,36,45,35.06,57.63)
  1031        4:E        5:F   +   0.346 (0,line,0,0,0,13,13,30)
  1032        4:E        4:E       0.35 (0,line,0,0,0,24,24,46.04)
  1033        4:E        4:E       0.496 (0,line,0,0,0,23,23,56.73)
  1034        4:E        5:F   +   0.451 (1,line,0,7,2,14,7.28,19.85)
  1035        4:E        4:E       0.73 (4,line,0,0,24,0,24,61.85)
  1036        4:E        4:E       0.709 (1,line,0,23,1,48,25.02,59.41)
  1037        4:E        5:F   +   0.434 (3,line,0,28,7,28,7,34.67)
  1038        4:E        4:E       0.584 (2,line,0,13,14,11,14.14,50.33)
  1039        4:E        9:P   +   0.476 (3,line,2,50,16,48,14.14,64.2)
  1040        4:E        4:E       0.368 (0,line,0,0,0,24,24,62.37)
  1041        4:E        4:E       0.767 (3,line,2,18,13,19,11.05,25.5)
  1042        4:E        7:H   +   0.463 (1,line,0,23,1,37,14.04,44.28)
  1043        4:E        5:F   +   0.399 (1,line,0,13,1,23,10.05,32.65)
  1044        4:E        4:E       0.969 (4,line,0,0,12,2,12.17,33.84)
  1045        4:E        4:E       0.997 (4,line,0,0,19,2,19.1,46.01)
  1046        4:E        4:E       0.784 (3,line,2,23,22,23,20,32.56)
  1047        4:E        6:G   +   0.532 (1,line,0,7,0,14,7,19.42)
  1048        4:E        4:E       0.71 (3,line,0,28,15,28,15,37.8)
  1049        4:E        4:E       0.699 (0,line,0,0,0,20,20,38.29)
  1050        4:E        5:F   +   0.469 (0,line,0,0,0,6,6,28.32)
  1051        4:E        4:E       0.989 (4,line,0,0,23,0,23,39.82)
  1052        4:E        5:F   +   0.637 (2,line,0,6,19,4,19.1,28.32)
  1053        4:E        5:F   +   0.828 (1,line,0,17,2,23,6.32,31.14)
  1054        4:E        5:F   +   0.439 (2,line,0,14,21,13,21.02,31.89)
  1055        4:E        7:H   +   0.503 (0,line,0,0,0,12,12,30.81)
  1056        4:E        4:E       0.441 (1,line,0,19,1,39,20.02,52.4)
  1057        4:E        5:F   +   0.709 (3,line,2,40,20,40,18,56.59)
  1058        4:E        5:F   +   0.644 (2,line,0,21,40,22,40.01,57.28)
  1059        4:E        5:F   +   0.687 (3,line,0,25,20,25,20,33.42)
  1060        4:E       10:R   +   0.477 (3,line,2,37,20,36,18.03,42.06)
  1061        4:E        4:E       0.996 (4,line,0,0,18,2,18.11,28.28)
  1062        4:E        4:E       0.979 (4,line,0,0,17,1,17.03,26.25)
  1063        4:E        6:G   +   0.447 (2,line,0,10,11,10,11,24.6)
  1064        4:E        8:L   +   0.611 (0,line,0,0,0,19,19,54.49)
  1065        4:E        4:E       0.405 (0,line,0,0,0,15,15,50.33)
  1066        4:E        5:F   +   0.522 (3,line,2,18,14,17,12.04,24.76)
  1067        4:E        4:E       0.994 (4,line,0,0,21,1,21.02,31.89)
  1068        4:E        4:E       0.369 (1,line,0,16,1,32,16.03,46.1)
  1069        4:E        4:E       0.996 (4,line,0,0,19,1,19.03,42.2)
  1070        4:E        5:F   +   0.473 (1,line,0,11,2,25,14.14,36.24)
  1071        4:E        4:E       0.999 (4,line,0,0,31,1,31.02,46.75)
  1072        4:E        4:E       0.548 (3,line,2,31,22,31,20,41.87)
  1073        4:E        4:E       0.917 (2,line,0,20,39,22,39.05,60.88)
  1074        4:E        8:L   +   0.606 (0,line,0,0,0,17,17,43.38)
  1075        4:E        4:E       0.999 (4,line,0,0,30,-2,30.07,50.8)
  1076        4:E        4:E       0.585 (2,line,0,16,7,16,7,46.75)
  1077        4:E        4:E       0.586 (1,line,0,6,1,27,21.02,37.54)
  1078        4:E        4:E       0.262 (2,line,0,20,6,20,6,43.42)
  1079        4:E        4:E       0.352 (0,line,0,0,0,16,16,47.42)
  1080        4:E        4:E       0.377 (0,line,0,0,0,10,10,34.06)
  1081        4:E        4:E       0.706 (2,line,0,24,14,23,14.04,40.8)
  1082        4:E        7:H   +   0.345 (0,line,0,0,0,6,6,30.23)
  1083        4:E        4:E       0.306 (0,line,0,0,0,17,17,54.67)
  1084        4:E        8:L   +   0.261 (0,line,0,0,0,9,9,35.61)
  1085        4:E        4:E       0.481 (2,line,0,20,34,18,34.06,57.01)
  1086        4:E        5:F   +   0.589 (2,line,0,17,21,17,21,38.28)
  1087        4:E        8:L   +   0.366 (0,line,0,0,0,12,12,41.04)
  1088        4:E        8:L   +   0.304 (0,line,0,0,0,10,10,32.56)
  1089        4:E        5:F   +   0.408 (1,line,0,10,0,32,22,38.83)
  1090        4:E        7:H   +   0.337 (1,line,0,19,2,27,8.25,32.25)
  1091        4:E        4:E       0.996 (4,line,0,0,13,-2,13.15,22.8)
  1092        4:E        7:H   +   0.389 (2,line,0,19,8,18,8.06,52.77)
  1093        4:E       10:R   +   0.543 (3,line,2,40,32,41,30.02,52.01)
  1094       10:R       10:R       0.789 (1,line,0,36,0,60,24,64.26)
  1095       10:R        5:F   +   0.507 (1,line,2,21,2,34,13,36.77)
  1096       10:R        9:P   +   0.547 (1,line,0,28,0,43,15,44.92)
  1097       10:R        9:P   +   0.861 (0,line,0,0,0,38,38,57.01)
  1098       10:R        9:P   +   0.5 (0,line,0,0,0,29,29,58.31)
  1099       10:R        9:P   +   0.32 (5,line,10,12,0,6,11.66,31.78)
  1100       10:R       10:R       0.954 (5,line,9,41,6,38,4.24,51.97)
  1101       10:R       10:R       0.57 (4,line,5,39,3,36,3.61,42.3)
  1102       10:R       10:R       0.571 (5,line,17,18,14,12,6.71,42.05)
  1103       10:R       10:R       0.523 (4,line,19,31,19,18,13,45.62)
  1104       10:R        9:P   +   0.659 (2,line,0,47,14,40,15.65,49.04)
  1105       10:R       10:R       0.728 (5,line,17,18,8,12,10.82,40.72)
  1106       10:R       10:R       0.998 (6,line,0,18,18,0,25.46,55.95)
  1107       10:R        8:L   +   0.374 (0,line,0,0,1,37,37.01,47.01)
  1108       10:R       10:R       0.671 (1,line,2,35,2,53,18,57.01)
  1109       10:R       10:R       0.761 (5,line,13,32,10,28,5,49.73)
  1110       10:R       10:R       0.988 (6,line,0,21,7,0,22.14,35.44)
  1111       10:R       10:R       0.863 (1,line,1,35,1,43,8,47.85)
  1112       10:R        9:P   +   0.778 (3,line,10,41,19,34,11.4,47.01)
  1113       10:R        4:E   +   0.423 (0,line,0,0,1,39,39.01,49.04)
  1114       10:R       10:R       0.708 (4,line,13,33,13,24,9,43.01)
  1115       10:R        9:P   +   0.444 (2,line,1,29,10,24,10.3,31.78)
  1116       10:R       10:R       0.727 (4,line,13,43,13,34,9,52.89)
  1117       10:R       10:R       0.469 (5,line,17,17,0,7,19.72,56.08)
  1118       10:R        9:P   +   0.666 (0,line,0,0,0,30,30,52.39)
  1119       10:R       10:R       0.382 (5,line,10,24,0,18,11.66,45.88)
  1120       10:R        9:P   +   0.49 (5,line,17,24,0,14,19.72,57.01)
  1121       10:R       10:R       0.937 (2,line,1,57,24,48,24.7,76.49)
  1122       10:R       10:R       0.951 (3,line,17,34,17,20,14,49.4)
  1123       10:R        9:P   +   0.505 (5,line,10,26,0,20,11.66,42.45)
